display_name,centroid_lat,centroid_long,radius
Wimbledon,51.419220,-0.205486,2.593000
Ward End,52.491533,-1.831599,1.123000
Waterloo,51.497759,-0.103420,1.109000
Middleton,53.746876,-1.540813,1.488000
Meadows,55.940407,-3.191100,1.269000
Beswick,53.477309,-2.197444,0.710000
Hanwell,51.510773,-0.334364,1.122000
Kingswood,51.463088,-2.510517,2.360000
Burnage,53.432007,-2.202892,1.665000
Kitts Green,52.482039,-1.782069,1.657000
Radyr,51.519243,-3.258461,1.038000
Chapeltown,53.815687,-1.528926,0.661000
Whitehall,51.461989,-2.553537,0.766000
North Kelvinside,55.880499,-4.279663,0.700000
Prestwich,53.527004,-2.275450,1.953000
Sciennes,55.938182,-3.182864,0.241000
Ashton,51.438251,-2.613743,0.522000
Maryhill,55.884951,-4.282382,2.706000
Rednal,52.393430,-2.006681,1.539000
Cookridge,53.851547,-1.614002,1.100000
The Park,52.950718,-1.160451,0.671000
Brighton,50.834233,-0.136921,8.174000
St Werburghs,51.469300,-2.575000,0.336000
Temple Meads,51.447913,-2.581144,2.087000
Thornwood,55.872138,-4.317663,0.240000
Bonnington,55.971268,-3.185340,0.509000
Droylsden,53.482578,-2.152203,1.935000
Filton,51.502633,-2.571910,1.067000
Blackheath,51.467469,0.016745,1.858000
New Gorbals,55.847141,-4.246697,0.771000
Allerton,53.388113,-2.915405,0.846000
Liverpool City Centre,53.404991,-2.980820,1.587000
Pollokshields,55.841459,-4.274277,0.564000
Norbury,51.407063,-0.120864,1.230000
Pilrig,55.964614,-3.180411,0.496000
Rubery,52.397423,-2.011512,1.720000
Fairwater,51.491018,-3.242022,1.240000
Gilmerton,55.910927,-3.145269,1.785000
Central London,51.513189,-0.129726,5.509000
Thornliebank,55.807600,-4.320204,1.341000
Turnpike Lane,51.588996,-0.098820,1.185000
Newington,55.940606,-3.180388,0.613000
St Anns,52.963780,-1.134093,1.138000
Seven Sisters,51.586237,-0.074946,1.080000
Wood Green,51.597057,-0.103158,1.536000
Kingston,51.402627,-0.290778,3.055000
Moss Side,53.454854,-2.242916,0.972000
Leyton,51.567632,-0.006120,1.785000
Rodley,53.819564,-1.654537,1.295000
Woolwich,51.486857,0.072921,2.168000
Grassmarket,55.946438,-3.198803,0.430000
Wallington,51.360689,-0.145572,1.261000
St Fagans,51.476629,-3.267124,0.520000
